date,round,category,value,result,is_daily_double
20260420,single,A WORD FROM THE FOUNDING FATHERS,200,c,false
20260420,single,AUSTRALIAN GEOGRAPHY,200,c,false
20260420,single,"ET ""TU""?",200,c,false
20260420,single,HEARING VOICES,200,.,false
20260420,single,HOME OWNERSHIP IS STRESSFUL,200,c,false
20260420,single,IN ROGET'S THESAURUS,200,x,false
20260420,single,A WORD FROM THE FOUNDING FATHERS,400,.,false
20260420,single,AUSTRALIAN GEOGRAPHY,400,c,false
20260420,single,"ET ""TU""?",400,.,false
20260420,single,HEARING VOICES,400,.,false
20260420,single,HOME OWNERSHIP IS STRESSFUL,400,c,false
20260420,single,IN ROGET'S THESAURUS,400,.,false
20260420,single,A WORD FROM THE FOUNDING FATHERS,600,x,false
20260420,single,AUSTRALIAN GEOGRAPHY,600,c,false
20260420,single,"ET ""TU""?",600,.,false
20260420,single,HEARING VOICES,600,.,false
20260420,single,HOME OWNERSHIP IS STRESSFUL,600,c,false
20260420,single,IN ROGET'S THESAURUS,600,.,false
20260420,single,A WORD FROM THE FOUNDING FATHERS,800,c,false
20260420,single,AUSTRALIAN GEOGRAPHY,800,c,false
20260420,single,"ET ""TU""?",800,c,false
20260420,single,HEARING VOICES,800,.,false
20260420,single,HOME OWNERSHIP IS STRESSFUL,800,c,false
20260420,single,IN ROGET'S THESAURUS,800,c,false
20260420,single,A WORD FROM THE FOUNDING FATHERS,1000,c,false
20260420,single,AUSTRALIAN GEOGRAPHY,1000,c,false
20260420,single,"ET ""TU""?",1000,c,false
20260420,single,HEARING VOICES,1000,c,false
20260420,single,HOME OWNERSHIP IS STRESSFUL,1000,c,false
20260420,single,IN ROGET'S THESAURUS,1000,dc,true
20260420,double,BACK IN THE NEW YORK GROOVE,400,.,false
20260420,double,OLD NAMES FOR THINGS,400,.,false
20260420,double,THE FAMILY IN THE PLOT,400,.,false
20260420,double,FROM THE FRENCH,400,c,false
20260420,double,HOPE,400,c,false
20260420,double,THE THING WITH FEATHERS,400,.,false
20260420,double,BACK IN THE NEW YORK GROOVE,800,.,false
20260420,double,OLD NAMES FOR THINGS,800,c,false
20260420,double,THE FAMILY IN THE PLOT,800,.,false
20260420,double,FROM THE FRENCH,800,c,false
20260420,double,HOPE,800,c,false
20260420,double,THE THING WITH FEATHERS,800,c,false
20260420,double,BACK IN THE NEW YORK GROOVE,1200,c,false
20260420,double,OLD NAMES FOR THINGS,1200,dx,true
20260420,double,THE FAMILY IN THE PLOT,1200,.,false
20260420,double,FROM THE FRENCH,1200,c,false
20260420,double,HOPE,1200,.,false
20260420,double,THE THING WITH FEATHERS,1200,.,false
20260420,double,BACK IN THE NEW YORK GROOVE,1600,.,false
20260420,double,OLD NAMES FOR THINGS,1600,c,false
20260420,double,THE FAMILY IN THE PLOT,1600,.,false
20260420,double,FROM THE FRENCH,1600,c,false
20260420,double,HOPE,1600,.,false
20260420,double,THE THING WITH FEATHERS,1600,c,false
20260420,double,BACK IN THE NEW YORK GROOVE,2000,.,false
20260420,double,OLD NAMES FOR THINGS,2000,.,false
20260420,double,THE FAMILY IN THE PLOT,2000,d.,true
20260420,double,FROM THE FRENCH,2000,c,false
20260420,double,HOPE,2000,.,false
20260420,double,THE THING WITH FEATHERS,2000,x,false
20260420,final,MOUNTAINS,0,x,false
