date,round,category,value,result,is_daily_double
20190408,single,WHO'S ON TV?,200,.,false
20190408,single,TRUE CRIME BOOK SHELF,200,c,false
20190408,single,TRICKS OF THE MIND,200,.,false
20190408,single,"""TOUCH""-Y, ""FEEL""-Y",200,c,false
20190408,single,GET YOUR KICKS,200,c,false
20190408,single,ROOT '66,200,c,false
20190408,single,WHO'S ON TV?,400,c,false
20190408,single,TRUE CRIME BOOK SHELF,400,c,false
20190408,single,TRICKS OF THE MIND,400,c,false
20190408,single,"""TOUCH""-Y, ""FEEL""-Y",400,c,false
20190408,single,GET YOUR KICKS,400,c,false
20190408,single,ROOT '66,400,c,false
20190408,single,WHO'S ON TV?,600,.,false
20190408,single,TRUE CRIME BOOK SHELF,600,c,false
20190408,single,TRICKS OF THE MIND,600,c,false
20190408,single,"""TOUCH""-Y, ""FEEL""-Y",600,.,false
20190408,single,GET YOUR KICKS,600,dc,true
20190408,single,ROOT '66,600,x,false
20190408,single,WHO'S ON TV?,800,c,false
20190408,single,TRUE CRIME BOOK SHELF,800,c,false
20190408,single,TRICKS OF THE MIND,800,c,false
20190408,single,"""TOUCH""-Y, ""FEEL""-Y",800,.,false
20190408,single,GET YOUR KICKS,800,c,false
20190408,single,ROOT '66,800,c,false
20190408,single,WHO'S ON TV?,1000,.,false
20190408,single,TRUE CRIME BOOK SHELF,1000,.,false
20190408,single,TRICKS OF THE MIND,1000,.,false
20190408,single,"""TOUCH""-Y, ""FEEL""-Y",1000,.,false
20190408,single,GET YOUR KICKS,1000,c,false
20190408,single,ROOT '66,1000,.,false
20190408,double,HOTELS,400,c,false
20190408,double,THEATRE,400,c,false
20190408,double,EMPIRES & DYNASTIES,400,u,false
20190408,double,CAROL KAYE PLAYED BASS ON THAT,400,c,false
20190408,double,JUST YOUR AVERAGE CATEGORY,400,c,false
20190408,double,"THE BRIDGE ON THE RIVER, WHY?",400,c,false
20190408,double,HOTELS,800,.,false
20190408,double,THEATRE,800,.,false
20190408,double,EMPIRES & DYNASTIES,800,c,false
20190408,double,CAROL KAYE PLAYED BASS ON THAT,800,.,false
20190408,double,JUST YOUR AVERAGE CATEGORY,800,.,false
20190408,double,"THE BRIDGE ON THE RIVER, WHY?",800,c,false
20190408,double,HOTELS,1200,c,false
20190408,double,THEATRE,1200,.,false
20190408,double,EMPIRES & DYNASTIES,1200,dc,true
20190408,double,CAROL KAYE PLAYED BASS ON THAT,1200,.,false
20190408,double,JUST YOUR AVERAGE CATEGORY,1200,.,false
20190408,double,"THE BRIDGE ON THE RIVER, WHY?",1200,c,false
20190408,double,HOTELS,1600,.,false
20190408,double,THEATRE,1600,.,false
20190408,double,EMPIRES & DYNASTIES,1600,.,false
20190408,double,CAROL KAYE PLAYED BASS ON THAT,1600,c,false
20190408,double,JUST YOUR AVERAGE CATEGORY,1600,c,false
20190408,double,"THE BRIDGE ON THE RIVER, WHY?",1600,c,false
20190408,double,HOTELS,2000,.,false
20190408,double,THEATRE,2000,d.,true
20190408,double,EMPIRES & DYNASTIES,2000,.,false
20190408,double,CAROL KAYE PLAYED BASS ON THAT,2000,.,false
20190408,double,JUST YOUR AVERAGE CATEGORY,2000,c,false
20190408,double,"THE BRIDGE ON THE RIVER, WHY?",2000,.,false
