date,round,category,value,result,is_daily_double
20260428,single,INTERNATIONAL NATIONAL PARKS,200,c,false
20260428,single,2025 BESTSELLERS,200,c,false
20260428,single,SITCOMS,200,x,false
20260428,single,LAST NAMES,200,c,false
20260428,single,REPETITIVE STRESS,200,c,false
20260428,single,RHYME TIME,200,c,false
20260428,single,INTERNATIONAL NATIONAL PARKS,400,x,false
20260428,single,2025 BESTSELLERS,400,.,false
20260428,single,SITCOMS,400,c,false
20260428,single,LAST NAMES,400,c,false
20260428,single,REPETITIVE STRESS,400,.,false
20260428,single,RHYME TIME,400,.,false
20260428,single,INTERNATIONAL NATIONAL PARKS,600,c,false
20260428,single,2025 BESTSELLERS,600,.,false
20260428,single,SITCOMS,600,.,false
20260428,single,LAST NAMES,600,.,false
20260428,single,REPETITIVE STRESS,600,.,false
20260428,single,RHYME TIME,600,c,false
20260428,single,INTERNATIONAL NATIONAL PARKS,800,c,false
20260428,single,2025 BESTSELLERS,800,.,false
20260428,single,SITCOMS,800,.,false
20260428,single,LAST NAMES,800,.,false
20260428,single,REPETITIVE STRESS,800,dc,true
20260428,single,RHYME TIME,800,c,false
20260428,single,INTERNATIONAL NATIONAL PARKS,1000,c,false
20260428,single,2025 BESTSELLERS,1000,.,false
20260428,single,SITCOMS,1000,.,false
20260428,single,LAST NAMES,1000,.,false
20260428,single,REPETITIVE STRESS,1000,c,false
20260428,single,RHYME TIME,1000,.,false
20260428,double,MEDICAL AKAs,400,x,false
20260428,double,NEARER MY POD TO THEE,400,.,false
20260428,double,BUSINESS HISTORY,400,.,false
20260428,double,"HAPPY 100th BIRTHDAY, ROUTE 66!",400,c,false
20260428,double,"O CAPTAIN, MY CAPTAIN",400,c,false
20260428,double,"I'LL STAY WITH THE ""SHIP""",400,c,false
20260428,double,MEDICAL AKAs,800,c,false
20260428,double,NEARER MY POD TO THEE,800,.,false
20260428,double,BUSINESS HISTORY,800,c,false
20260428,double,"HAPPY 100th BIRTHDAY, ROUTE 66!",800,c,false
20260428,double,"O CAPTAIN, MY CAPTAIN",800,.,false
20260428,double,"I'LL STAY WITH THE ""SHIP""",800,c,false
20260428,double,MEDICAL AKAs,1200,c,false
20260428,double,NEARER MY POD TO THEE,1200,.,false
20260428,double,BUSINESS HISTORY,1200,.,false
20260428,double,"HAPPY 100th BIRTHDAY, ROUTE 66!",1200,x,false
20260428,double,"O CAPTAIN, MY CAPTAIN",1200,c,false
20260428,double,"I'LL STAY WITH THE ""SHIP""",1200,c,false
20260428,double,MEDICAL AKAs,1600,.,false
20260428,double,NEARER MY POD TO THEE,1600,.,false
20260428,double,BUSINESS HISTORY,1600,dx,true
20260428,double,"HAPPY 100th BIRTHDAY, ROUTE 66!",1600,c,false
20260428,double,"O CAPTAIN, MY CAPTAIN",1600,dc,true
20260428,double,"I'LL STAY WITH THE ""SHIP""",1600,c,false
20260428,double,MEDICAL AKAs,2000,.,false
20260428,double,NEARER MY POD TO THEE,2000,x,false
20260428,double,BUSINESS HISTORY,2000,.,false
20260428,double,"HAPPY 100th BIRTHDAY, ROUTE 66!",2000,.,false
20260428,double,"O CAPTAIN, MY CAPTAIN",2000,.,false
20260428,double,"I'LL STAY WITH THE ""SHIP""",2000,.,false
20260428,final,PLAYWRIGHTS,0,x,false
