date,round,category,value,result,is_daily_double
20190416,single,A YEAR ENDING IN 9,200,c,false
20190416,single,ALSO A FIRST NAME,200,c,false
20190416,single,A THURBER CARNIVAL OF QUOTATIONS,200,c,false
20190416,single,BEHIND THE SCENES,200,c,false
20190416,single,5 JEFFS,200,c,false
20190416,single,"YEAH, WE SAW IT ON THE INTERNET",200,c,false
20190416,single,A YEAR ENDING IN 9,400,c,false
20190416,single,ALSO A FIRST NAME,400,c,false
20190416,single,A THURBER CARNIVAL OF QUOTATIONS,400,.,false
20190416,single,BEHIND THE SCENES,400,c,false
20190416,single,5 JEFFS,400,c,false
20190416,single,"YEAH, WE SAW IT ON THE INTERNET",400,c,false
20190416,single,A YEAR ENDING IN 9,600,c,false
20190416,single,ALSO A FIRST NAME,600,c,false
20190416,single,A THURBER CARNIVAL OF QUOTATIONS,600,.,false
20190416,single,BEHIND THE SCENES,600,c,false
20190416,single,5 JEFFS,600,c,false
20190416,single,"YEAH, WE SAW IT ON THE INTERNET",600,c,false
20190416,single,A YEAR ENDING IN 9,800,dc,true
20190416,single,ALSO A FIRST NAME,800,c,false
20190416,single,A THURBER CARNIVAL OF QUOTATIONS,800,.,false
20190416,single,BEHIND THE SCENES,800,x,false
20190416,single,5 JEFFS,800,c,false
20190416,single,"YEAH, WE SAW IT ON THE INTERNET",800,c,false
20190416,single,A YEAR ENDING IN 9,1000,.,false
20190416,single,ALSO A FIRST NAME,1000,c,false
20190416,single,A THURBER CARNIVAL OF QUOTATIONS,1000,x,false
20190416,single,BEHIND THE SCENES,1000,.,false
20190416,single,5 JEFFS,1000,.,false
20190416,single,"YEAH, WE SAW IT ON THE INTERNET",1000,.,false
20190416,double,CANADIAN CITY NICKNAMES,400,x,false
20190416,double,PRESS YOUR LUCK,400,c,false
20190416,double,LITERARY ALLUSIONS,400,c,false
20190416,double,BOYS IN THE BAND,400,c,false
20190416,double,SOUNDS LIKE PIG LATIN,400,c,false
20190416,double,THE FRANKLIN INSTITUTE,400,c,false
20190416,double,CANADIAN CITY NICKNAMES,800,c,false
20190416,double,PRESS YOUR LUCK,800,c,false
20190416,double,LITERARY ALLUSIONS,800,c,false
20190416,double,BOYS IN THE BAND,800,.,false
20190416,double,SOUNDS LIKE PIG LATIN,800,.,false
20190416,double,THE FRANKLIN INSTITUTE,800,c,false
20190416,double,CANADIAN CITY NICKNAMES,1200,.,false
20190416,double,PRESS YOUR LUCK,1200,x,false
20190416,double,LITERARY ALLUSIONS,1200,c,false
20190416,double,BOYS IN THE BAND,1200,.,false
20190416,double,SOUNDS LIKE PIG LATIN,1200,c,false
20190416,double,THE FRANKLIN INSTITUTE,1200,.,false
20190416,double,CANADIAN CITY NICKNAMES,1600,c,false
20190416,double,PRESS YOUR LUCK,1600,c,false
20190416,double,LITERARY ALLUSIONS,1600,d.,true
20190416,double,BOYS IN THE BAND,1600,c,false
20190416,double,SOUNDS LIKE PIG LATIN,1600,d.,true
20190416,double,THE FRANKLIN INSTITUTE,1600,.,false
20190416,double,CANADIAN CITY NICKNAMES,2000,c,false
20190416,double,PRESS YOUR LUCK,2000,c,false
20190416,double,LITERARY ALLUSIONS,2000,.,false
20190416,double,BOYS IN THE BAND,2000,.,false
20190416,double,SOUNDS LIKE PIG LATIN,2000,.,false
20190416,double,THE FRANKLIN INSTITUTE,2000,.,false
20190416,final,INTERNATIONAL NEWS,0,c,false
