date,round,category,value,result,is_daily_double
20260424,single,WORLD CAPITALS,200,c,false
20260424,single,MY FIRST NAME'S A VERB,200,c,false
20260424,single,SCI-FI TV,200,.,false
20260424,single,I WASN'T FAMILIAR WITH YOUR GAME,200,c,false
20260424,single,DOUBLE TALK,200,c,false
20260424,single,MARK TWAIN TRACKS,200,c,false
20260424,single,WORLD CAPITALS,400,c,false
20260424,single,MY FIRST NAME'S A VERB,400,.,false
20260424,single,SCI-FI TV,400,.,false
20260424,single,I WASN'T FAMILIAR WITH YOUR GAME,400,c,false
20260424,single,DOUBLE TALK,400,.,false
20260424,single,MARK TWAIN TRACKS,400,.,false
20260424,single,WORLD CAPITALS,600,c,false
20260424,single,MY FIRST NAME'S A VERB,600,d.,true
20260424,single,SCI-FI TV,600,.,false
20260424,single,I WASN'T FAMILIAR WITH YOUR GAME,600,c,false
20260424,single,DOUBLE TALK,600,.,false
20260424,single,MARK TWAIN TRACKS,600,.,false
20260424,single,WORLD CAPITALS,800,c,false
20260424,single,MY FIRST NAME'S A VERB,800,.,false
20260424,single,SCI-FI TV,800,.,false
20260424,single,I WASN'T FAMILIAR WITH YOUR GAME,800,.,false
20260424,single,DOUBLE TALK,800,c,false
20260424,single,MARK TWAIN TRACKS,800,.,false
20260424,single,WORLD CAPITALS,1000,.,false
20260424,single,MY FIRST NAME'S A VERB,1000,c,false
20260424,single,SCI-FI TV,1000,.,false
20260424,single,I WASN'T FAMILIAR WITH YOUR GAME,1000,.,false
20260424,single,DOUBLE TALK,1000,x,false
20260424,single,MARK TWAIN TRACKS,1000,.,false
20260424,double,THEY COME TO AMERICA,400,c,false
20260424,double,"""SMALL"" TALK",400,c,false
20260424,double,AN INVITATION TO SCIENCE,400,.,false
20260424,double,FRENCH MOVIES,400,c,false
20260424,double,CLASSICAL MUSIC,400,.,false
20260424,double,5-LETTER HISTORY,400,c,false
20260424,double,THEY COME TO AMERICA,800,c,false
20260424,double,"""SMALL"" TALK",800,.,false
20260424,double,AN INVITATION TO SCIENCE,800,x,false
20260424,double,FRENCH MOVIES,800,x,false
20260424,double,CLASSICAL MUSIC,800,.,false
20260424,double,5-LETTER HISTORY,800,c,false
20260424,double,THEY COME TO AMERICA,1200,d.,true
20260424,double,"""SMALL"" TALK",1200,.,false
20260424,double,AN INVITATION TO SCIENCE,1200,dc,true
20260424,double,FRENCH MOVIES,1200,.,false
20260424,double,CLASSICAL MUSIC,1200,.,false
20260424,double,5-LETTER HISTORY,1200,c,false
20260424,double,THEY COME TO AMERICA,1600,.,false
20260424,double,"""SMALL"" TALK",1600,.,false
20260424,double,AN INVITATION TO SCIENCE,1600,x,false
20260424,double,FRENCH MOVIES,1600,x,false
20260424,double,CLASSICAL MUSIC,1600,.,false
20260424,double,5-LETTER HISTORY,1600,c,false
20260424,double,THEY COME TO AMERICA,2000,c,false
20260424,double,"""SMALL"" TALK",2000,.,false
20260424,double,AN INVITATION TO SCIENCE,2000,c,false
20260424,double,FRENCH MOVIES,2000,.,false
20260424,double,CLASSICAL MUSIC,2000,c,false
20260424,double,5-LETTER HISTORY,2000,c,false
20260424,final,THE LITERARY YEAR,0,x,false
