date,round,category,value,result,is_daily_double
20190412,single,GENERAL KNOWLEDGE,200,.,false
20190412,single,WOMEN OF POLITICS,200,c,false
20190412,single,I'D LIKE TO SELL A VOWEL,200,c,false
20190412,single,AMERICAN LITERATURE,200,c,false
20190412,single,CITY ADJECTIVES,200,c,false
20190412,single,"GOOGLE'S TOP SEARCHES, 1999-2018",200,c,false
20190412,single,GENERAL KNOWLEDGE,400,x,false
20190412,single,WOMEN OF POLITICS,400,c,false
20190412,single,I'D LIKE TO SELL A VOWEL,400,.,false
20190412,single,AMERICAN LITERATURE,400,.,false
20190412,single,CITY ADJECTIVES,400,dc,true
20190412,single,"GOOGLE'S TOP SEARCHES, 1999-2018",400,.,false
20190412,single,GENERAL KNOWLEDGE,600,.,false
20190412,single,WOMEN OF POLITICS,600,c,false
20190412,single,I'D LIKE TO SELL A VOWEL,600,.,false
20190412,single,AMERICAN LITERATURE,600,c,false
20190412,single,CITY ADJECTIVES,600,c,false
20190412,single,"GOOGLE'S TOP SEARCHES, 1999-2018",600,c,false
20190412,single,GENERAL KNOWLEDGE,800,c,false
20190412,single,WOMEN OF POLITICS,800,.,false
20190412,single,I'D LIKE TO SELL A VOWEL,800,.,false
20190412,single,AMERICAN LITERATURE,800,c,false
20190412,single,CITY ADJECTIVES,800,.,false
20190412,single,"GOOGLE'S TOP SEARCHES, 1999-2018",800,c,false
20190412,single,GENERAL KNOWLEDGE,1000,c,false
20190412,single,WOMEN OF POLITICS,1000,c,false
20190412,single,I'D LIKE TO SELL A VOWEL,1000,x,false
20190412,single,AMERICAN LITERATURE,1000,.,false
20190412,single,CITY ADJECTIVES,1000,c,false
20190412,single,"GOOGLE'S TOP SEARCHES, 1999-2018",1000,x,false
20190412,double,MOOLAH,400,c,false
20190412,double,SCIENCE,400,c,false
20190412,double,"A ""B""6 SHOT",400,c,false
20190412,double,COLOMBIA PICTURES,400,x,false
20190412,double,CLASSIC FILM,400,.,false
20190412,double,5 EASY PIECES,400,c,false
20190412,double,MOOLAH,800,c,false
20190412,double,SCIENCE,800,c,false
20190412,double,"A ""B""6 SHOT",800,c,false
20190412,double,COLOMBIA PICTURES,800,c,false
20190412,double,CLASSIC FILM,800,.,false
20190412,double,5 EASY PIECES,800,c,false
20190412,double,MOOLAH,1200,.,false
20190412,double,SCIENCE,1200,c,false
20190412,double,"A ""B""6 SHOT",1200,c,false
20190412,double,COLOMBIA PICTURES,1200,c,false
20190412,double,CLASSIC FILM,1200,.,false
20190412,double,5 EASY PIECES,1200,c,false
20190412,double,MOOLAH,1600,dx,true
20190412,double,SCIENCE,1600,c,false
20190412,double,"A ""B""6 SHOT",1600,c,false
20190412,double,COLOMBIA PICTURES,1600,c,false
20190412,double,CLASSIC FILM,1600,.,false
20190412,double,5 EASY PIECES,1600,.,false
20190412,double,MOOLAH,2000,.,false
20190412,double,SCIENCE,2000,c,false
20190412,double,"A ""B""6 SHOT",2000,c,false
20190412,double,COLOMBIA PICTURES,2000,dc,true
20190412,double,CLASSIC FILM,2000,.,false
20190412,double,5 EASY PIECES,2000,.,false
20190412,final,LITERARY ADAPTATIONS,0,c,false
