date,round,category,value,result,is_daily_double
20190410,single,"MATTHEW, MARK, LUKE & JOHN",200,u,false
20190410,single,HOLIDAYS & OBSERVANCES,200,c,false
20190410,single,ACROSS STATE LINES,200,c,false
20190410,single,WUTZ MISPELED,200,c,false
20190410,single,"SWEET ""P""",200,.,false
20190410,single,WE AREN'T THE CHAMPIONS,200,u,false
20190410,single,"MATTHEW, MARK, LUKE & JOHN",400,.,false
20190410,single,HOLIDAYS & OBSERVANCES,400,x,false
20190410,single,ACROSS STATE LINES,400,c,false
20190410,single,WUTZ MISPELED,400,c,false
20190410,single,"SWEET ""P""",400,c,false
20190410,single,WE AREN'T THE CHAMPIONS,400,c,false
20190410,single,"MATTHEW, MARK, LUKE & JOHN",600,.,false
20190410,single,HOLIDAYS & OBSERVANCES,600,c,false
20190410,single,ACROSS STATE LINES,600,c,false
20190410,single,WUTZ MISPELED,600,.,false
20190410,single,"SWEET ""P""",600,c,false
20190410,single,WE AREN'T THE CHAMPIONS,600,c,false
20190410,single,"MATTHEW, MARK, LUKE & JOHN",800,.,false
20190410,single,HOLIDAYS & OBSERVANCES,800,c,false
20190410,single,ACROSS STATE LINES,800,c,false
20190410,single,WUTZ MISPELED,800,c,false
20190410,single,"SWEET ""P""",800,c,false
20190410,single,WE AREN'T THE CHAMPIONS,800,x,false
20190410,single,"MATTHEW, MARK, LUKE & JOHN",1000,.,false
20190410,single,HOLIDAYS & OBSERVANCES,1000,dc,true
20190410,single,ACROSS STATE LINES,1000,c,false
20190410,single,WUTZ MISPELED,1000,x,false
20190410,single,"SWEET ""P""",1000,.,false
20190410,single,WE AREN'T THE CHAMPIONS,1000,c,false
20190410,double,"MATTHEW, MARK, LUKE & JOHN",400,c,false
20190410,double,POP CULTURE COMMON BONDS,400,.,false
20190410,double,THE CIVIL WAR,400,c,false
20190410,double,MOLLUSKS,400,c,false
20190410,double,THANKS FOR THE MEMOIRS,400,c,false
20190410,double,"""M.G.""",400,c,false
20190410,double,"MATTHEW, MARK, LUKE & JOHN",800,c,false
20190410,double,POP CULTURE COMMON BONDS,800,c,false
20190410,double,THE CIVIL WAR,800,c,false
20190410,double,MOLLUSKS,800,c,false
20190410,double,THANKS FOR THE MEMOIRS,800,x,false
20190410,double,"""M.G.""",800,c,false
20190410,double,"MATTHEW, MARK, LUKE & JOHN",1200,.,false
20190410,double,POP CULTURE COMMON BONDS,1200,c,false
20190410,double,THE CIVIL WAR,1200,c,false
20190410,double,MOLLUSKS,1200,c,false
20190410,double,THANKS FOR THE MEMOIRS,1200,.,false
20190410,double,"""M.G.""",1200,c,false
20190410,double,"MATTHEW, MARK, LUKE & JOHN",1600,c,false
20190410,double,POP CULTURE COMMON BONDS,1600,.,false
20190410,double,THE CIVIL WAR,1600,d.,true
20190410,double,MOLLUSKS,1600,dc,true
20190410,double,THANKS FOR THE MEMOIRS,1600,.,false
20190410,double,"""M.G.""",1600,c,false
20190410,double,"MATTHEW, MARK, LUKE & JOHN",2000,c,false
20190410,double,POP CULTURE COMMON BONDS,2000,.,false
20190410,double,THE CIVIL WAR,2000,.,false
20190410,double,MOLLUSKS,2000,c,false
20190410,double,THANKS FOR THE MEMOIRS,2000,x,false
20190410,double,"""M.G.""",2000,c,false
20190410,final,EUROPEAN HISTORY,0,c,false
