date,round,category,value,result,is_daily_double
20260417,single,FELLAS FROM HISTORY,200,c,false
20260417,single,FINANCIAL ANAGRAMS,200,c,false
20260417,single,OLD WIVES' TALES,200,.,false
20260417,single,WHO DISS TRACK,200,c,false
20260417,single,RETRONYMS,200,c,false
20260417,single,SIBLING REVELRY,200,.,false
20260417,single,FELLAS FROM HISTORY,400,.,false
20260417,single,FINANCIAL ANAGRAMS,400,c,false
20260417,single,OLD WIVES' TALES,400,.,false
20260417,single,WHO DISS TRACK,400,c,false
20260417,single,RETRONYMS,400,.,false
20260417,single,SIBLING REVELRY,400,d.,true
20260417,single,FELLAS FROM HISTORY,600,.,false
20260417,single,FINANCIAL ANAGRAMS,600,.,false
20260417,single,OLD WIVES' TALES,600,.,false
20260417,single,WHO DISS TRACK,600,.,false
20260417,single,RETRONYMS,600,x,false
20260417,single,SIBLING REVELRY,600,c,false
20260417,single,FELLAS FROM HISTORY,800,x,false
20260417,single,FINANCIAL ANAGRAMS,800,.,false
20260417,single,OLD WIVES' TALES,800,.,false
20260417,single,WHO DISS TRACK,800,.,false
20260417,single,RETRONYMS,800,.,false
20260417,single,SIBLING REVELRY,800,c,false
20260417,single,FELLAS FROM HISTORY,1000,.,false
20260417,single,FINANCIAL ANAGRAMS,1000,.,false
20260417,single,OLD WIVES' TALES,1000,.,false
20260417,single,WHO DISS TRACK,1000,.,false
20260417,single,RETRONYMS,1000,c,false
20260417,single,SIBLING REVELRY,1000,.,false
20260417,double,GEOGRAPHY,400,.,false
20260417,double,SCRUBS,400,.,false
20260417,double,CELEBRITIES' BOOK CLUBS,400,c,false
20260417,double,HEALTH & MEDICINE,400,c,false
20260417,double,BRIT BITS,400,c,false
20260417,double,"CATCHING SOME ""ZZ""s",400,.,false
20260417,double,GEOGRAPHY,800,c,false
20260417,double,SCRUBS,800,c,false
20260417,double,CELEBRITIES' BOOK CLUBS,800,.,false
20260417,double,HEALTH & MEDICINE,800,c,false
20260417,double,BRIT BITS,800,.,false
20260417,double,"CATCHING SOME ""ZZ""s",800,.,false
20260417,double,GEOGRAPHY,1200,dc,true
20260417,double,SCRUBS,1200,c,false
20260417,double,CELEBRITIES' BOOK CLUBS,1200,.,false
20260417,double,HEALTH & MEDICINE,1200,c,false
20260417,double,BRIT BITS,1200,c,false
20260417,double,"CATCHING SOME ""ZZ""s",1200,.,false
20260417,double,GEOGRAPHY,1600,c,false
20260417,double,SCRUBS,1600,.,false
20260417,double,CELEBRITIES' BOOK CLUBS,1600,.,false
20260417,double,HEALTH & MEDICINE,1600,dc,true
20260417,double,BRIT BITS,1600,.,false
20260417,double,"CATCHING SOME ""ZZ""s",1600,c,false
20260417,double,GEOGRAPHY,2000,.,false
20260417,double,SCRUBS,2000,.,false
20260417,double,CELEBRITIES' BOOK CLUBS,2000,.,false
20260417,double,HEALTH & MEDICINE,2000,c,false
20260417,double,BRIT BITS,2000,x,false
20260417,double,"CATCHING SOME ""ZZ""s",2000,x,false
20260417,final,OPERA,0,x,false
