date,round,category,value,result,is_daily_double
20190411,single,DRESSING BOB'S BURGERS,200,u,false
20190411,single,IDIOMS,200,c,false
20190411,single,WAR OF THE BATTLE,200,c,false
20190411,single,INVENTED OR DISCOVERED,200,.,false
20190411,single,I'VE GOT YOUR NUMBER,200,c,false
20190411,single,25 TCM,200,c,false
20190411,single,DRESSING BOB'S BURGERS,400,c,false
20190411,single,IDIOMS,400,dc,true
20190411,single,WAR OF THE BATTLE,400,c,false
20190411,single,INVENTED OR DISCOVERED,400,.,false
20190411,single,I'VE GOT YOUR NUMBER,400,.,false
20190411,single,25 TCM,400,c,false
20190411,single,DRESSING BOB'S BURGERS,600,.,false
20190411,single,IDIOMS,600,.,false
20190411,single,WAR OF THE BATTLE,600,c,false
20190411,single,INVENTED OR DISCOVERED,600,.,false
20190411,single,I'VE GOT YOUR NUMBER,600,c,false
20190411,single,25 TCM,600,.,false
20190411,single,DRESSING BOB'S BURGERS,800,.,false
20190411,single,IDIOMS,800,c,false
20190411,single,WAR OF THE BATTLE,800,.,false
20190411,single,INVENTED OR DISCOVERED,800,c,false
20190411,single,I'VE GOT YOUR NUMBER,800,.,false
20190411,single,25 TCM,800,.,false
20190411,single,DRESSING BOB'S BURGERS,1000,c,false
20190411,single,IDIOMS,1000,c,false
20190411,single,WAR OF THE BATTLE,1000,c,false
20190411,single,INVENTED OR DISCOVERED,1000,c,false
20190411,single,I'VE GOT YOUR NUMBER,1000,c,false
20190411,single,25 TCM,1000,.,false
20190411,double,"MOVIE & SONG, SAME TITLE",400,c,false
20190411,double,AMERICAN POETRY,400,u,false
20190411,double,"""EX""",400,.,false
20190411,double,AROUND THE INDIAN OCEAN,400,.,false
20190411,double,JOURNALISTS,400,u,false
20190411,double,EMERGENCY GENERATOR,400,c,false
20190411,double,"MOVIE & SONG, SAME TITLE",800,x,false
20190411,double,AMERICAN POETRY,800,d.,true
20190411,double,"""EX""",800,c,false
20190411,double,AROUND THE INDIAN OCEAN,800,.,false
20190411,double,JOURNALISTS,800,.,false
20190411,double,EMERGENCY GENERATOR,800,c,false
20190411,double,"MOVIE & SONG, SAME TITLE",1200,c,false
20190411,double,AMERICAN POETRY,1200,c,false
20190411,double,"""EX""",1200,c,false
20190411,double,AROUND THE INDIAN OCEAN,1200,c,false
20190411,double,JOURNALISTS,1200,c,false
20190411,double,EMERGENCY GENERATOR,1200,.,false
20190411,double,"MOVIE & SONG, SAME TITLE",1600,.,false
20190411,double,AMERICAN POETRY,1600,.,false
20190411,double,"""EX""",1600,c,false
20190411,double,AROUND THE INDIAN OCEAN,1600,c,false
20190411,double,JOURNALISTS,1600,.,false
20190411,double,EMERGENCY GENERATOR,1600,c,false
20190411,double,"MOVIE & SONG, SAME TITLE",2000,.,false
20190411,double,AMERICAN POETRY,2000,.,false
20190411,double,"""EX""",2000,c,false
20190411,double,AROUND THE INDIAN OCEAN,2000,d.,true
20190411,double,JOURNALISTS,2000,c,false
20190411,double,EMERGENCY GENERATOR,2000,.,false
20190411,final,CELEBRITIES,0,x,false
