date,round,category,value,result,is_daily_double
20190409,single,BEER,200,c,false
20190409,single,STOUT,200,c,false
20190409,single,LOGGER,200,.,false
20190409,single,PALE AIL,200,x,false
20190409,single,LIGHT,200,.,false
20190409,single,"""PORTER""",200,x,false
20190409,single,BEER,400,c,false
20190409,single,STOUT,400,c,false
20190409,single,LOGGER,400,c,false
20190409,single,PALE AIL,400,c,false
20190409,single,LIGHT,400,c,false
20190409,single,"""PORTER""",400,c,false
20190409,single,BEER,600,.,false
20190409,single,STOUT,600,c,false
20190409,single,LOGGER,600,.,false
20190409,single,PALE AIL,600,.,false
20190409,single,LIGHT,600,c,false
20190409,single,"""PORTER""",600,c,false
20190409,single,BEER,800,.,false
20190409,single,STOUT,800,c,false
20190409,single,LOGGER,800,.,false
20190409,single,PALE AIL,800,c,false
20190409,single,LIGHT,800,x,false
20190409,single,"""PORTER""",800,c,false
20190409,single,BEER,1000,.,false
20190409,single,STOUT,1000,.,false
20190409,single,LOGGER,1000,.,false
20190409,single,PALE AIL,1000,dx,true
20190409,single,LIGHT,1000,c,false
20190409,single,"""PORTER""",1000,c,false
20190409,double,ASIAN CITIES,400,c,false
20190409,double,A SHORT STORY CATEGORY,400,.,false
20190409,double,CAT IDIOMS,400,c,false
20190409,double,INTERNATIONAL ARCHITECTURE & DESIGN,400,c,false
20190409,double,MUSIC FESTIVALS,400,c,false
20190409,double,AMERICAN HISTORY,400,c,false
20190409,double,ASIAN CITIES,800,c,false
20190409,double,A SHORT STORY CATEGORY,800,c,false
20190409,double,CAT IDIOMS,800,c,false
20190409,double,INTERNATIONAL ARCHITECTURE & DESIGN,800,dc,true
20190409,double,MUSIC FESTIVALS,800,c,false
20190409,double,AMERICAN HISTORY,800,c,false
20190409,double,ASIAN CITIES,1200,c,false
20190409,double,A SHORT STORY CATEGORY,1200,.,false
20190409,double,CAT IDIOMS,1200,c,false
20190409,double,INTERNATIONAL ARCHITECTURE & DESIGN,1200,c,false
20190409,double,MUSIC FESTIVALS,1200,c,false
20190409,double,AMERICAN HISTORY,1200,c,false
20190409,double,ASIAN CITIES,1600,c,false
20190409,double,A SHORT STORY CATEGORY,1600,x,false
20190409,double,CAT IDIOMS,1600,c,false
20190409,double,INTERNATIONAL ARCHITECTURE & DESIGN,1600,c,false
20190409,double,MUSIC FESTIVALS,1600,x,false
20190409,double,AMERICAN HISTORY,1600,dc,true
20190409,double,ASIAN CITIES,2000,c,false
20190409,double,A SHORT STORY CATEGORY,2000,c,false
20190409,double,CAT IDIOMS,2000,.,false
20190409,double,INTERNATIONAL ARCHITECTURE & DESIGN,2000,c,false
20190409,double,MUSIC FESTIVALS,2000,c,false
20190409,double,AMERICAN HISTORY,2000,c,false
20190409,final,PHYSICS TERMS,0,c,false
