date,round,category,value,result,is_daily_double
20260422,single,AMAZING ANDREWS,200,c,false
20260422,single,FAMILIAR PHRASES,200,c,false
20260422,single,DO I LOOK FAD IN THIS?,200,c,false
20260422,single,PRIMER,200,c,false
20260422,single,FOUNDATION,200,c,false
20260422,single,LIP GLOSS,200,c,false
20260422,single,AMAZING ANDREWS,400,.,false
20260422,single,FAMILIAR PHRASES,400,.,false
20260422,single,DO I LOOK FAD IN THIS?,400,c,false
20260422,single,PRIMER,400,.,false
20260422,single,FOUNDATION,400,c,false
20260422,single,LIP GLOSS,400,.,false
20260422,single,AMAZING ANDREWS,600,.,false
20260422,single,FAMILIAR PHRASES,600,c,false
20260422,single,DO I LOOK FAD IN THIS?,600,x,false
20260422,single,PRIMER,600,.,false
20260422,single,FOUNDATION,600,c,false
20260422,single,LIP GLOSS,600,.,false
20260422,single,AMAZING ANDREWS,800,x,false
20260422,single,FAMILIAR PHRASES,800,c,false
20260422,single,DO I LOOK FAD IN THIS?,800,.,false
20260422,single,PRIMER,800,.,false
20260422,single,FOUNDATION,800,c,false
20260422,single,LIP GLOSS,800,.,false
20260422,single,AMAZING ANDREWS,1000,.,false
20260422,single,FAMILIAR PHRASES,1000,dc,true
20260422,single,DO I LOOK FAD IN THIS?,1000,.,false
20260422,single,PRIMER,1000,.,false
20260422,single,FOUNDATION,1000,.,false
20260422,single,LIP GLOSS,1000,.,false
20260422,double,VICTORIAN TIMES,400,c,false
20260422,double,SONG STORY,400,c,false
20260422,double,SIBLINGS,400,c,false
20260422,double,POST-APOCALYPTIC PAGE-TURNERS,400,c,false
20260422,double,RIVER CITIES & TOWNS,400,.,false
20260422,double,DO NOT PICK THIS CATEGORY,400,x,false
20260422,double,VICTORIAN TIMES,800,x,false
20260422,double,SONG STORY,800,c,false
20260422,double,SIBLINGS,800,.,false
20260422,double,POST-APOCALYPTIC PAGE-TURNERS,800,x,false
20260422,double,RIVER CITIES & TOWNS,800,.,false
20260422,double,DO NOT PICK THIS CATEGORY,800,c,false
20260422,double,VICTORIAN TIMES,1200,x,false
20260422,double,SONG STORY,1200,c,false
20260422,double,SIBLINGS,1200,.,false
20260422,double,POST-APOCALYPTIC PAGE-TURNERS,1200,.,false
20260422,double,RIVER CITIES & TOWNS,1200,x,false
20260422,double,DO NOT PICK THIS CATEGORY,1200,.,false
20260422,double,VICTORIAN TIMES,1600,d.,true
20260422,double,SONG STORY,1600,.,false
20260422,double,SIBLINGS,1600,.,false
20260422,double,POST-APOCALYPTIC PAGE-TURNERS,1600,.,false
20260422,double,RIVER CITIES & TOWNS,1600,.,false
20260422,double,DO NOT PICK THIS CATEGORY,1600,c,false
20260422,double,VICTORIAN TIMES,2000,c,false
20260422,double,SONG STORY,2000,c,false
20260422,double,SIBLINGS,2000,x,false
20260422,double,POST-APOCALYPTIC PAGE-TURNERS,2000,.,false
20260422,double,RIVER CITIES & TOWNS,2000,.,false
20260422,double,DO NOT PICK THIS CATEGORY,2000,d.,true
20260422,final,20th CENTURY PHRASES,0,x,false
